feature,importance,importance_std,rank
FrameSSkew_Hist5,0.0017682701034502412,0.002554527332670238,155
FrameSNR_IQR,0.0017663484135499413,0.002094591283763761,156
FrameSHR_Hist6,0.0017624211016209876,0.0014196991207340675,157
FrameSS_IQR,0.0017589000228927472,0.0019699161297987624,158
FrameSNR_Hist4,0.0017549440510770755,0.002335342119490213,159
H1H2,0.0017490858440226775,0.0014965056254434518,160
GOI_Regularity,0.001742757408889931,0.002130668237095494,161
FrameSNR_P5,0.0017350772089819498,0.0022167568902258902,162
FrameSNR_Hist1,0.0017348321974446402,0.00265204503752643,163
FrameSCF_Kurt,0.0017314781159674534,0.0019172624660902505,164
FrameCPP_P95,0.001727973659736462,0.0016706429146493029,165
FrameSR_Hist0,0.0017209155545736192,0.0016456366125156018,166
FrameCPP_Median,0.001717610765602999,0.0016449059795495267,167
FrameF0_Range,0.001714369690490867,0.0021582088971843242,168
FrameSS_Mean,0.001712051638663123,0.0016822908634853682,169
LTAS_Slope,0.001706157001934872,0.0014532857547097289,170
FrameSS_Skew,0.0017051209616332002,0.001437515456553168,171
FrameAC_Hist2,0.0017044903685167329,0.002407832534827906,172
F3_Mean,0.0017025013857548663,0.001326721009838323,173
FrameSSkew_Std,0.0017020676981937537,0.0018984076978663372,174
FrameSBW_Hist3,0.0017018679897067759,0.0021130858036867003,175
FramePC_Hist9,0.0017010900457491269,0.004411235381168515,176
FrameSSkew_Hist8,0.0016984710080259772,0.0014640196554941906,177
FrameSFlux_P95,0.0016957749343323439,0.0015881680941174387,178
FrameSNR_Hist3,0.001693300478704621,0.0020832620920449014,179
FrameSS_Hist4,0.0016909498036393855,0.0014983281096183853,180
FrameSFlux_Hist4,0.0016868513546513808,0.0024765599175955028,181
FramePC_Skew,0.0016864126435789245,0.001889712118582821,182
FrameSFlux_Range,0.001683953925334877,0.001962232822971678,183
FrameHNR_Hist3,0.001683160363236249,0.0018643441590045996,184
FormantDispersion,0.0016815044476932613,0.001276989517166798,185
FrameSR_Hist7,0.0016797530112898284,0.0017108547627085618,186
FrameSC_IQR,0.0016794037884416049,0.0016994200420949086,187
FrameSBW_IQR,0.0016765743310272678,0.001705704066145114,188
FrameSBW_Kurt,0.0016710148305769457,0.002470412964865113,189
FrameSSkew_Mean,0.0016709760667803334,0.0020040315273405357,190
FrameSKurt_P5,0.0016506399076229416,0.0023207456124264836,191
FrameSKurt_Hist9,0.0016478313407077686,0.0017083447025088986,192
GlobalReverb,0.001646394113364736,0.0012713354197670908,193
F3_BW,0.0016462687777920116,0.0011861534963410344,194
FrameSKurt_Hist8,0.0016404046708940001,0.0013421678162840863,195
FrameSF_Hist1,0.0016388074732688039,0.002180237381523815,196
FrameSHR_Hist0,0.0016362163182682304,0.0013998711721667295,197
FrameF0_P95,0.001631865224790038,0.0014278700906705842,198
FrameSFlux_Skew,0.0016311414619856008,0.0013432688385717462,199
FrameZCR_Hist6,0.0016227592164013086,0.001557933290310434,200
FrameSE_Hist3,0.0016190551022141608,0.001496864925855,201
FramePC_Mean,0.0016181292968517084,0.0017233402564901968,202
FrameSCF_Std,0.0016145475173292958,0.0014490041043816334,203
FrameSFlux_Hist1,0.0016063752418134913,0.0043041758484614915,204
FrameMFCCVar_Hist2,0.0016049374545429765,0.0013592487991472015,205
FrameSS_Std,0.0016040305900466886,0.0013900367898703769,206
F0_StdDev,0.0016025858902437905,0.0014270018800325672,207
GCI_Rate,0.001601604004642293,0.001418047236681917,208
FrameSE_P5,0.0016015197816484955,0.0013894949460185261,209
FrameAC_Hist4,0.0015982612023484391,0.0016193792720449144,210
FrameSKurt_Hist7,0.001595365806574354,0.0013024900345302705,211
FrameSF_P95,0.0015945197353340057,0.0017019586971150347,212
FrameAC_IQR,0.0015881712544541474,0.001359545196892668,213
FrameSC_Range,0.0015872632357967565,0.0014912463930581187,214
FrameSE_Skew,0.0015869669461847224,0.0019464978124026176,215
FrameSKurt_Median,0.0015862635152570997,0.0014410105403916272,216
FrameSE_Std,0.0015816979736309382,0.0016594523676388383,217
FrameAC_P95,0.0015780842886439328,0.0015386358687116768,218
FramePC_Std,0.0015774679329117638,0.0018216463891751443,219
FrameSHR_Hist5,0.001577092387687928,0.0013257506915291346,220
FrameSKurt_Std,0.0015763540805346,0.0017806596315274221,221
FrameSR_Hist4,0.001573229136224474,0.0014087194439497454,222
FrameSE_Hist0,0.0015727277978585027,0.0014702701265215713,223
FrameSHR_Median,0.0015684720281005783,0.001397402950731894,224
FrameSR_Hist6,0.0015679117248612838,0.001577657170810359,225
AlphaRatio,0.0015672278054493947,0.0013866373241947312,226
HammarbergIndex,0.001566840488931566,0.0014145964455668362,227
MDVP_SPI,0.0015655102860242555,0.001343167074790135,228
FrameSSkew_Hist0,0.0015651755704833127,0.00386323974854445,229
F1_BW,0.0015641269972036173,0.0013383374362331314,230
FrameCPP_P5,0.0015558306160996665,0.001282139304063756,231
Tremor_Regularity,0.0015502625952643334,0.0012650692193413133,232
ModulationSpectrumArea,0.001549318107660773,0.0011440233757215438,233
FrameAC_Hist7,0.0015446688832083813,0.0013491031811311087,234
